date,type,title,entities,source
2023-12-05,Press/Company,NRO signs EO agreements (SCE),Airbus U.S.; Albedo; Hydrosat; Muon Space; Turion Space,https://hydrosat.com/2023/12/05/nro-signs-agreements-with-five-commercial-suppliers-of-electro-optical-imagery/
2024-02-28,Press/Company,Umbra selected for SCE RF Stage II,Umbra,https://www.prnewswire.com/news-releases/nro-selects-umbra-for-second-phase-of-commercial-rf-study-302074373.html
2024-12-05,Press/Trade,NRO extends SCE Radar Stage III,Capella; ICEYE; Umbra,https://breakingdefense.com/2024/12/and-then-there-were-3-nro-extends-contracts-for-radar-imagery-to-capella-iceye-umbra/
2025-07-24,SAM Notice,Commercial Foundation RFI (CSPO),Program context,https://sam.gov/opp/ffcc5b2d036646c18d925df2dac64f0b/view
